protein	edges
APC8	10
CDKA-1	7
RBR1	6
APC10	6
ATR	4
3702.Q9FNN5	4
APC11	4
CDC5	4
PRP8A	4
MSJ1.11	3
CDC25	3
3702.Q9LSA1	3
APC4	3
APC6	3
SOG1	3
CDKB1-1	3
HMG1	2
3702.P46086	2
PMK	2
3702.Q56XE4	2
RNU1	2
3702.Q8GWQ6	2
CYP18-2	2
RD21C	2
3702.Q8RXY0	2
3702.Q96251	2
3702.Q9FT52	2
atpF	2
CIB22	2
dNK	2
ndhK	2
NRPB3	2
RPS29C	2
rps16	2
ALY1	2
Y14	2
ALY2	2
THO2	2
APC1	2
FZR1	2
RAD50	2
SQE1	2
WEE1	2
PRP40C	2
CKS1	2
CYCD3-1	2
KRP7	2
U2AF65A	2
KRP1	2
MOS4	2
SBT1.2	2
HMGS	2
LHCB3	2
LHCB5	2
psbB	2
MED14	2
NRPB4	2
NDPK2	2
MPK3	2
SPCH	2
ZEU1	2
RS2Z33	2
RPL40B	2
TK1B	2
THY-2	2
psaC	2
APC3	1
CDC20-2	1
CDC20-6	1
APC13	1
APC2	1
UBC19	1
APC5	1
CDC20-1	1
CDC20-5	1
APC7	1
CDC20-3	1
CDC20-4	1
FZR2	1
ATHB-51	1
ATM	1
CAS1	1
KRP2	1
CYCA2-3	1
SMR1	1
CDKG1	1
CYCL1-1	1
E2FA	1
E2FB	1
E2FC	1
E2FE	1
FBL17	1
GTL1	1
SIM	1
MED16	1
SKIP	1
PYM	1
UBP14	1
SCL28	1
SMR5	1
