#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC1	APC6	3702.Q9FFF9	3702.B3DNN5	0	0	0	0	0.219	0.991	0.969	0.636	0.999
APC1	APC4	3702.Q9FFF9	3702.O65418	0	0	0.211	0	0.073	0.991	0.969	0.896	0.999
APC1	APC5	3702.Q9FFF9	3702.Q8H1U4	0	0	0	0	0.094	0.991	0.969	0.894	0.999
APC1	APC2	3702.Q9FFF9	3702.Q8H1U5	0	0	0	0	0.047	0.994	0.969	0.899	0.999
APC1	CDC27B	3702.Q9FFF9	3702.Q8LGU6	0	0	0	0	0.054	0.926	0.809	0.515	0.992
APC1	APC7	3702.Q9FFF9	3702.Q8VY89	0	0	0	0	0.101	0.986	0.968	0.423	0.999
APC1	FZR1	3702.Q9FFF9	3702.Q8VZS9	0	0	0	0	0	0.847	0.783	0.243	0.972
APC1	APC10	3702.Q9FFF9	3702.Q9ZPW2	0	0	0	0	0	0.994	0.969	0.635	0.999
APC1	APC8	3702.Q9FFF9	3702.Q9STS3	0	0	0	0	0.135	0.994	0.969	0.867	0.999
APC1	APC11	3702.Q9FFF9	3702.Q9M9L0	0	0	0	0	0	0.960	0.887	0.904	0.999
APC10	APC6	3702.Q9ZPW2	3702.B3DNN5	0	0	0	0	0	0.994	0.969	0.970	0.999
APC10	APC4	3702.Q9ZPW2	3702.O65418	0	0	0	0	0	0.994	0.969	0.960	0.999
APC10	APC5	3702.Q9ZPW2	3702.Q8H1U4	0	0	0	0	0.168	0.994	0.969	0.966	0.999
APC10	APC2	3702.Q9ZPW2	3702.Q8H1U5	0	0	0	0	0.044	0.995	0.969	0.548	0.999
APC10	CDC27B	3702.Q9ZPW2	3702.Q8LGU6	0	0	0	0	0	0.943	0.809	0.859	0.998
APC10	APC7	3702.Q9ZPW2	3702.Q8VY89	0	0	0	0	0	0.972	0.964	0.965	0.999
APC10	FZR1	3702.Q9ZPW2	3702.Q8VZS9	0	0	0	0	0	0.822	0.781	0.899	0.995
APC10	APC1	3702.Q9ZPW2	3702.Q9FFF9	0	0	0	0	0	0.994	0.969	0.635	0.999
APC10	APC11	3702.Q9ZPW2	3702.Q9M9L0	0	0	0	0	0	0.926	0.887	0.963	0.999
